iter	RMSE
199	0.3260423264
200	0.3255383071
201	0.3251985315
202	0.3246699468
203	0.3243889952
204	0.3235902985
205	0.3230932239
206	0.3227996057
207	0.3223183778
208	0.3218853532
209	0.3214968277
210	0.3211654157
211	0.3207368443
212	0.3201760004
213	0.3192129556
214	0.3188063493
215	0.3182897349
216	0.3177204263
217	0.3173529394
218	0.3165024743
219	0.316260093
220	0.3160469647
221	0.3157549564
222	0.3153802944
223	0.3145824234
224	0.3141506678
225	0.3139296607
226	0.3134483429
227	0.3127158951
228	0.3125502968
229	0.312367549
230	0.3117737439
231	0.3111566471
232	0.3107461743
233	0.3103088409
234	0.3100525706
235	0.3093865371
236	0.3085063476
237	0.3083616678
238	0.3081429917
239	0.3074715867
240	0.3070032281
241	0.3063867722
242	0.3061893198
243	0.3055185444
244	0.3052895785
245	0.3046765607
246	0.3039068159
247	0.3035355038
248	0.3033745308
249	0.3025811656
250	0.3021200679
251	0.3016744509
252	0.3013695117
253	0.3005243228
254	0.3002943333
255	0.2998122047
256	0.2996828792
257	0.2990484978
258	0.2988771592
259	0.2980528513
260	0.2979386529
261	0.2972681575
262	0.2963664713
263	0.2957913684
264	0.2953616184
265	0.2952356446
266	0.294330044
267	0.2938207997
268	0.2933833948
269	0.2930112494
270	0.2926600702
271	0.2925283838
272	0.292286846
273	0.2917349202
274	0.2913463913
275	0.2912545181
276	0.291092061
277	0.2904591741
278	0.2898108272
279	0.2896375754
280	0.2894900626
281	0.2888443495
282	0.2887532537
283	0.2882884514
284	0.2877762419
285	0.2875463188
286	0.2873435339
287	0.2865667104
288	0.2860613909
289	0.2852898676
290	0.2847968429
291	0.2843073612
292	0.283604342
293	0.2833785705
294	0.2831189573
295	0.2830034207
296	0.2823966997
297	0.2823229681
298	0.2816012065
299	0.281293482
300	0.2806875477
301	0.2801479907
302	0.2799691618
303	0.2796621179
304	0.2788204548
305	0.2783256357
306	0.277639266
307	0.2772089842
308	0.2768327139
309	0.2758150331
310	0.2753059811
311	0.2749504309
312	0.2748293555
313	0.274689331
314	0.2741311172
315	0.2740080466
316	0.2734654656
317	0.2731889989
318	0.2728750112
319	0.2722528518
320	0.2716537088
321	0.2713720499
322	0.271266387
323	0.2707962028
324	0.2706522049
325	0.2697781558
326	0.2696829219
327	0.2691975804
328	0.2690780672
329	0.2687221611
330	0.2679843408
331	0.2676824266
332	0.2672335212
333	0.2666984855
334	0.2662370439
335	0.2658170924
336	0.2655434095
337	0.2653758471
338	0.2652808163
339	0.264765442
340	0.2644950319
341	0.2642167962
342	0.2636136763
343	0.2633463057
344	0.2632771025
345	0.2628982323
346	0.2622232471
347	0.2621651356
348	0.2617543394
349	0.2615193303
350	0.2607988677
351	0.2601700804
352	0.2594431533
353	0.2586055112
354	0.2582686877
355	0.2578398192
356	0.2572579335
357	0.2569978103
358	0.2568151908
359	0.2565756912
360	0.2562354512
361	0.255943505
362	0.2556343743
363	0.254970338
364	0.2545133296
365	0.2543426999
366	0.2538130208
367	0.2534442253
368	0.2532120328
369	0.2529267173
370	0.2525373325
371	0.2521707983
372	0.2513372089
373	0.2509481843
374	0.2505606579
375	0.2503033954
376	0.2500120602
377	0.2492956981
378	0.2485909003
379	0.2482464604
380	0.2479698216
381	0.2474484753
382	0.2467768629
383	0.2465088825
384	0.2464009716
385	0.2462125733
386	0.2455128738
387	0.2448676311
388	0.2443769557
389	0.2439385555
390	0.2435931239
391	0.2433754477
392	0.2430598471
393	0.242932709
394	0.2424692251
395	0.2418903891
396	0.2414238573
397	0.2411398362
398	0.2408871198
399	0.2403630635
400	0.2398992271
401	0.2396023004
402	0.2393418053
403	0.2390245931
404	0.2389020825
405	0.238579552
406	0.2377405182
407	0.2371628579
408	0.2365863376
409	0.2361367475
410	0.2358831286
411	0.2355405525
412	0.2350106496
413	0.2345114987
414	0.2338969939
415	0.2336427374
416	0.233185245
417	0.2324841953
418	0.2322001533
419	0.2319989504
420	0.2316111153
421	0.2311350674
422	0.2307911311
423	0.2303406027
424	0.2301672851
425	0.2297369829
426	0.2293446195
427	0.2290484146
428	0.2288051701
429	0.2284599273
430	0.2279766339
431	0.2273861847
432	0.2273245944
433	0.2268373428
434	0.2266784799
435	0.2260297366
436	0.2256427613
437	0.2253691845
438	0.2250898338
439	0.2247370573
440	0.2244699673
441	0.2241392762
442	0.2236120766
443	0.2234479045
444	0.2230010904
445	0.2222230084
446	0.2220346855
447	0.2217523701
448	0.2215659021
449	0.2211336299
450	0.2204590508
451	0.2200185786
452	0.2196428864
453	0.219212211
454	0.2187332164
455	0.2180985238
456	0.2177196086
457	0.2172994291
458	0.2170726435
459	0.2168826973
460	0.2163879708
461	0.216027873
462	0.2157211897
463	0.2153148849
464	0.2148786981
465	0.2146822825
466	0.2143408247
467	0.2137297486
468	0.2133394514
469	0.2128838744
470	0.2125102683
471	0.2121167362
472	0.2117424776
473	0.2114462578
474	0.2111978692
475	0.210756925
476	0.2105461465
477	0.2100449013
478	0.2097745411
479	0.2095319411
480	0.2091296642
481	0.2089711185
482	0.2084551372
483	0.2082337872
484	0.2078530645
485	0.2075165233
486	0.2073075132
487	0.2069405121
488	0.206567056
489	0.2062653086
490	0.2060057886
491	0.205576273
492	0.20529191
493	0.2048376202
494	0.2046774721
495	0.2043390871
496	0.2041992571
497	0.2038892401
498	0.2036971227
499	0.203402325
500	0.20305078
501	0.2028388314
502	0.2024511311
503	0.2021128822
504	0.2018363357
505	0.2016284379
506	0.2010523318
507	0.2008894862
508	0.2004494324
509	0.2000625318
510	0.1999022558
511	0.199788662
512	0.1994546657
513	0.1992176002
514	0.1989748747
515	0.1985900264
516	0.1981865842
517	0.1977589808
518	0.1975362856
519	0.1973227577
520	0.1971966557
521	0.197034552
522	0.196742333
523	0.1966410427
524	0.1964381681
525	0.196117907
526	0.1957995114
527	0.195396959
528	0.1952709628
529	0.1950702353
530	0.1947709059
531	0.1944125875
532	0.1940042029
533	0.1938769907
534	0.1936132637
535	0.1933925333
536	0.1928370959
537	0.19257343
538	0.1922440841
539	0.1918953506
540	0.1916944732
541	0.1915358789
542	0.191067988
543	0.1906575775
544	0.1902971518
545	0.1902113734
546	0.1899220043
547	0.1896085361
548	0.1894683059
549	0.1892781054
550	0.1890216093
551	0.188761606
552	0.1885257281
553	0.1882131348
554	0.1879212195
555	0.1877751781
556	0.1873958641
557	0.1871279175
558	0.1870662759
559	0.1866089424
560	0.1863801005
561	0.1861303851
562	0.1859663631
563	0.1858318175
564	0.185711113
565	0.1854431028
566	0.185104486
567	0.1849174451
568	0.1846510678
569	0.1840424028
570	0.1837874539
571	0.1834140855
572	0.1831874006
573	0.1830861106
574	0.1827242306
575	0.1825731699
576	0.1823265333
577	0.1821369463
578	0.1817439559
579	0.1815751056
580	0.1811489372
581	0.1809581983
582	0.1808091389
583	0.1804561413
584	0.1801670719
585	0.1799690748
586	0.1797871378
587	0.1795554217
588	0.1792068155
589	0.1787398522
590	0.1786539853
591	0.1785662886
592	0.1784380953
593	0.1781864779
594	0.1781028252
595	0.1777650569
596	0.1776160806
597	0.1774464272
598	0.1769628742
599	0.1766723204
600	0.176518736
601	0.1764151985
602	0.1759271196
603	0.1756819842
604	0.175492074
605	0.175006676
606	0.1748051706
607	0.174531923
608	0.1744416195
609	0.174366302
610	0.1742687005
611	0.1740881744
612	0.1737837809
613	0.1735646643
614	0.1733449631
615	0.1730370321
616	0.1729137538
617	0.172796016
618	0.1723781741
619	0.1719581023
620	0.171761957
621	0.1714254805
622	0.1712594657
623	0.171114188
624	0.1709274621
625	0.1706078942
626	0.1705594765
627	0.1704244662
628	0.1701927152
629	0.1698806679
630	0.1696059592
631	0.1692147398
632	0.1690772697
633	0.1686673197
634	0.1682936285
635	0.1680971573
636	0.1679523833
637	0.1677119376
638	0.1675646117
639	0.167283891
640	0.1670063679
641	0.1668342068
642	0.1666564155
643	0.1663864668
644	0.1662449755
645	0.1660318429
646	0.1657031654
647	0.1656094955
648	0.1652929669
649	0.1650516326
650	0.1648843174
651	0.1647245499
652	0.1645105718
653	0.1643060318
654	0.1639987168
655	0.1637453222
656	0.1634960034
657	0.1632449236
658	0.1627542282
659	0.1625127288
660	0.1621123555
661	0.1620236538
662	0.1619520261
663	0.1616685084
664	0.1612485783
665	0.1609426582
666	0.1607315727
667	0.160575096
668	0.1604903443
669	0.1601432703
670	0.1600290696
671	0.1596569487
672	0.1593923418
673	0.1590106009
674	0.1589347122
675	0.1586546656
676	0.1584729034
677	0.1583778275
678	0.158287077
679	0.1578900365
680	0.1577521381
681	0.1576567352
682	0.1574046862
683	0.157309043
684	0.1571378356
685	0.1569426274
686	0.156903236
687	0.1568376712
688	0.1565560112
689	0.1564475032
690	0.1560005697
691	0.1558290026
692	0.155785857
693	0.1555141804
694	0.1552613772
695	0.1551239094
696	0.1547708386
697	0.1546973171
698	0.1546675404
699	0.154466215
700	0.1542446721
701	0.1539670542
702	0.1535816116
703	0.1533485891
704	0.1530726176
705	0.1528798343
706	0.152811391
707	0.1526479368
708	0.152467205
709	0.1522909459
710	0.1522339487
711	0.1520568838
712	0.1518841624
713	0.1517117723
714	0.1515648433
715	0.1513585944
716	0.1509350701
717	0.1508507372
718	0.1506368021
719	0.1506188122
720	0.1504414929
721	0.1502997808
722	0.1501265523
723	0.1499481885
724	0.1498639325
725	0.149455523
726	0.1492962973
727	0.1490228755
728	0.148848941
729	0.1486460036
730	0.1485400803
731	0.1483917491
732	0.1481701665
733	0.1477206187
734	0.1476065227
735	0.1473243193
736	0.1472051762
737	0.147140199
738	0.1468770474
739	0.1467242927
740	0.1466028568
741	0.146390997
742	0.1461529693
743	0.1460885007
744	0.1457963831
745	0.1457022814
746	0.1453173886
747	0.1452331889
748	0.1452114767
749	0.145066368
750	0.1448374275
751	0.1447392264
752	0.1446923874
753	0.1446239874
754	0.144501042
755	0.1442093434
756	0.1440218347
757	0.1439575697
758	0.1438809759
759	0.1435637945
760	0.14339954
761	0.1432588073
762	0.1430005364
763	0.1429654202
764	0.1428111398
765	0.1427384749
766	0.1425180665
767	0.1422346649
768	0.1419460822
769	0.1417525367
770	0.1416525207
771	0.1415513898
772	0.1415018019
773	0.1413394388
774	0.141121017
775	0.1408812024
776	0.1408053289
777	0.1405066012
778	0.1401681112
779	0.1400176952
780	0.1399083529
781	0.1397131321
782	0.1394016683
783	0.1391613432
784	0.1390866186
785	0.1389165789
786	0.1385852432
787	0.1383592787
788	0.1382562001
789	0.1380448519
790	0.1377294908
791	0.1377124146
792	0.1376506161
793	0.1374743162
794	0.1373289567
795	0.1370770447
796	0.1370123769
797	0.1368484244
798	0.1366753786
799	0.1364663505
800	0.1363314793
801	0.1361659839
802	0.1358230218
803	0.135742139
804	0.1354923543
805	0.1352713599
806	0.1351852573
807	0.1351287187
808	0.1349030113
809	0.1347827961
810	0.1346828151
811	0.1345799567
812	0.1343476874
813	0.1342443824
814	0.1341159309
815	0.1338604972
816	0.1338110987
817	0.1336643402
818	0.1335383933
819	0.1333926628
820	0.1332221501
821	0.133127128
822	0.1329563813
823	0.132760312
824	0.1326128053
825	0.1325132611
826	0.1323345648
827	0.1321069883
828	0.132004655
829	0.1319386609
830	0.1316507349
831	0.1314415498
832	0.1312577328
833	0.1311318007
834	0.1309818973
835	0.1307315225
836	0.1304483487
837	0.1302275561
838	0.1300791713
839	0.1299713082
840	0.1297526446
841	0.1294918431
842	0.1292079114
843	0.1291343037
844	0.1290053087
845	0.1289634688
846	0.1289546481
847	0.1288252149
848	0.1286094672
849	0.1284183814
850	0.1281981567
851	0.12813936
852	0.1280167574
853	0.127939843
854	0.1277135734
855	0.1275109577
856	0.12728594
857	0.1272253456
858	0.1270622535
859	0.1268673722
860	0.1266314682
861	0.1265629986
862	0.1263463975
863	0.1261988173
864	0.1260612314
865	0.1259046219
866	0.1258321608
867	0.1257399587
868	0.1254984426
869	0.1252986632
870	0.1252228429
871	0.1250157761
872	0.124926062
873	0.1248019499
874	0.1247308178
875	0.1246770033
876	0.1245676059
877	0.1243440447
878	0.1241170541
879	0.1238569826
880	0.123776468
881	0.1236287421
882	0.1233536822
883	0.1233214062
884	0.12317971
885	0.1229391962
886	0.1227127493
887	0.1226168782
888	0.1225797775
889	0.1224844331
890	0.1224305185
891	0.1223504851
892	0.1222664869
893	0.1221764525
894	0.1220584803
895	0.1219778034
896	0.1217419093
897	0.1216954063
898	0.1216307048
899	0.1213505921
900	0.1211904786
901	0.1210197487
902	0.1210127939
903	0.1208938671
904	0.1206753149
905	0.1205454413
906	0.1205077568
907	0.1204867206
908	0.1203968194
909	0.1201374413
910	0.1199987337
911	0.119893402
912	0.1198027336
913	0.1197445297
914	0.1195551646
915	0.1193114499
916	0.1192347456
917	0.1189806763
918	0.1188066664
919	0.1186666856
920	0.1185662931
921	0.1185167999
922	0.1182697426
923	0.1181031035
924	0.1179685208
925	0.1177742528
926	0.1176208487
927	0.1174519266
928	0.1173638306
929	0.1171183037
930	0.1170606621
931	0.1170050806
932	0.1168623347
933	0.1166119181
934	0.1165103634
935	0.1163815409
936	0.11626087
937	0.116074305
938	0.1159802685
939	0.1159382041
940	0.1159122492
941	0.1158145762
942	0.1157579405
943	0.1155635464
944	0.1154530304
945	0.1153124906
946	0.1151416365
947	0.1150629799
948	0.1150324769
949	0.1149849004
950	0.1147518292
951	0.1147282874
952	0.1145200591
953	0.1143922609
954	0.1141834963
955	0.1140014075
956	0.113894529
957	0.113761878
958	0.1136187627
959	0.1134524584
960	0.1132992144
961	0.1130473778
962	0.1128708368
963	0.1127867941
964	0.1125673056
965	0.112453703
966	0.1121254971
967	0.111936175
968	0.1118413274
969	0.1117803094
970	0.1117068937
971	0.1116416578
972	0.1115482435
973	0.1114805381
974	0.1113843015
975	0.111256278
976	0.1111527465
977	0.1109944397
978	0.1108795441
979	0.1107542745
980	0.1105498953
981	0.1104265801
982	0.1102708544
983	0.1101740844
984	0.1101209062
985	0.1099910126
986	0.1098157115
987	0.1096933323
988	0.1095565291
989	0.1094468692
990	0.1094048197
991	0.1092976732
992	0.1091093958
993	0.1088838287
994	0.1087003875
995	0.108647701
996	0.1085399371
997	0.1084075788
998	0.1083154164
999	0.1081955462
